"id","codigo_municipio","nombre_municipio","codigo_departamento"
"1",1,"MEDELLIN","5"
"2",2,"ABEJORRAL","5"
"3",4,"ABRIAQUI","5"
"4",21,"ALEJANDRIA","5"
"5",30,"AMAGA","5"
"6",31,"AMALFI","5"
"7",34,"ANDES","5"
"8",36,"ANGELOPOLIS","5"
"9",38,"ANGOSTURA","5"
"10",40,"ANORI","5"
"11",42,"SANTAFE DE ANTIOQUIA","5"
"12",44,"ANZA","5"
"13",45,"APARTADO","5"
"14",51,"ARBOLETES","5"
"15",55,"ARGELIA","5"
"16",59,"ARMENIA","5"
"17",79,"BARBOSA","5"
"18",86,"BELMIRA","5"
"19",88,"BELLO","5"
"20",91,"BETANIA","5"
"21",93,"BETULIA","5"
"22",101,"CIUDAD BOLIVAR","5"
"23",107,"BRICEÑO","5"
"24",113,"BURITICA","5"
"25",120,"CACERES","5"
"26",125,"CAICEDO","5"
"27",129,"CALDAS","5"
"28",134,"CAMPAMENTO","5"
"29",138,"CAÑASGORDAS","5"
"30",142,"CARACOLI","5"
"31",145,"CARAMANTA","5"
"32",147,"CAREPA","5"
"33",148,"EL CARMEN DE VIBORAL","5"
"34",150,"CAROLINA","5"
"35",154,"CAUCASIA","5"
"36",172,"CHIGORODO","5"
"37",190,"CISNEROS","5"
"38",197,"COCORNA","5"
"39",206,"CONCEPCION","5"
"40",209,"CONCORDIA","5"
"41",212,"COPACABANA","5"
"42",234,"DABEIBA","5"
"43",237,"DON MATIAS","5"
"44",240,"EBEJICO","5"
"45",250,"EL BAGRE","5"
"46",264,"ENTRERRIOS","5"
"47",266,"ENVIGADO","5"
"48",282,"FREDONIA","5"
"49",284,"FRONTINO","5"
"50",306,"GIRALDO","5"
"51",308,"GIRARDOTA","5"
"52",310,"GOMEZ PLATA","5"
"53",313,"GRANADA","5"
"54",315,"GUADALUPE","5"
"55",318,"GUARNE","5"
"56",321,"GUATAPE","5"
"57",347,"HELICONIA","5"
"58",353,"HISPANIA","5"
"59",360,"ITAGUI","5"
"60",361,"ITUANGO","5"
"61",364,"JARDIN","5"
"62",368,"JERICO","5"
"63",376,"LA CEJA","5"
"64",380,"LA ESTRELLA","5"
"65",390,"LA PINTADA","5"
"66",400,"LA UNION","5"
"67",411,"LIBORINA","5"
"68",425,"MACEO","5"
"69",440,"MARINILLA","5"
"70",467,"MONTEBELLO","5"
"71",475,"MURINDO","5"
"72",480,"MUTATA","5"
"73",483,"NARIÑO","5"
"74",490,"NECOCLI","5"
"75",495,"NECHI","5"
"76",501,"OLAYA","5"
"77",541,"PEÐOL","5"
"78",543,"PEQUE","5"
"79",576,"PUEBLORRICO","5"
"80",579,"PUERTO BERRIO","5"
"81",585,"PUERTO NARE","5"
"82",591,"PUERTO TRIUNFO","5"
"83",604,"REMEDIOS","5"
"84",607,"RETIRO","5"
"85",615,"RIONEGRO","5"
"86",628,"SABANALARGA","5"
"87",631,"SABANETA","5"
"88",642,"SALGAR","5"
"89",647,"SAN ANDRESCUERQUIA","5"
"90",649,"SAN CARLOS","5"
"91",652,"SAN FRANCISCO","5"
"92",656,"SAN JERONIMO","5"
"94",659,"SAN JUAN DE URABA","5"
"95",660,"SAN LUIS","5"
"96",664,"SAN PEDRO","5"
"97",665,"SAN PEDRO DE URABA","5"
"98",667,"SAN RAFAEL","5"
"99",670,"SAN ROQUE","5"
"100",674,"SAN VICENTE","5"
"101",679,"SANTA BARBARA","5"
"102",686,"SANTA ROSA DE OSOS","5"
"103",690,"SANTO DOMINGO","5"
"104",697,"EL SANTUARIO","5"
"105",736,"SEGOVIA","5"
"106",756,"SONSON","5"
"107",761,"SOPETRAN","5"
"108",789,"TAMESIS","5"
"109",790,"TARAZA","5"
"110",792,"TARSO","5"
